source,new_source,group,dijkstra_dheap,rdijkstra_dheap,dijkstra_radix,rdijkstra_radix
87561,73940,1,21.812,21.431,19.078,18.594
87561,73940,1,22.732,21.417,17.424,18.147
87561,109987,1,23.731,31.739,19.922,21.258
87561,109987,1,29.690,27.370,21.301,22.628
87561,109521,1,25.285,24.436,20.314,21.509
87561,109521,1,26.343,27.159,20.635,21.491
87561,95194,1,22.968,22.867,24.407,19.471
87561,95194,1,23.349,22.936,17.864,20.331
87561,93087,1,25.771,29.001,18.938,20.229
87561,93087,1,25.501,28.743,19.699,18.209
87561,44374,2,24.921,23.466,19.816,20.976
87561,44374,2,27.777,27.381,21.851,23.382
87561,124691,2,25.835,25.199,19.766,21.040
87561,124691,2,25.749,25.989,19.936,20.972
87561,118297,2,21.710,24.591,19.478,20.523
87561,118297,2,24.856,25.585,19.455,19.224
87561,49576,2,24.743,26.158,19.285,20.097
87561,49576,2,28.169,24.808,19.000,19.976
87561,128328,2,22.791,23.670,18.098,19.256
87561,128328,2,23.495,23.798,18.463,19.297
87561,128681,3,26.096,26.219,20.439,21.431
87561,128681,3,23.068,22.287,17.904,19.612
87561,115461,3,21.656,21.430,16.847,17.792
87561,115461,3,21.957,21.578,16.801,17.778
87561,130268,3,23.022,21.336,17.527,22.943
87561,130268,3,21.266,21.212,23.804,26.513
87561,129875,3,23.773,27.258,20.110,18.817
87561,129875,3,22.196,21.991,18.024,21.002
87561,105827,3,26.508,27.901,20.786,21.196
87561,105827,3,26.554,27.544,20.479,20.771
87561,149075,4,20.749,20.774,16.921,17.730
87561,149075,4,20.418,19.950,17.740,20.070
87561,141859,4,23.323,29.896,19.041,20.717
87561,141859,4,22.648,20.135,17.386,17.708
87561,149089,4,24.625,21.888,18.135,19.053
87561,149089,4,22.824,21.127,16.911,17.919
87561,27097,4,20.455,21.543,17.044,17.915
87561,27097,4,21.270,20.650,17.007,17.496
87561,94602,4,20.199,19.792,16.834,17.017
87561,94602,4,20.323,20.681,15.771,16.834
87561,149437,5,19.715,20.195,18.438,19.085
87561,149437,5,24.785,21.951,18.490,18.475
87561,128195,5,22.445,20.272,16.259,17.592
87561,128195,5,20.279,24.155,18.032,19.484
87561,123804,5,22.803,22.762,19.470,20.289
87561,123804,5,21.089,21.893,17.269,16.692
87561,95764,5,19.936,19.967,15.780,16.310
87561,95764,5,20.312,20.072,16.228,18.397
87561,128609,5,23.046,25.464,18.034,18.826
87561,128609,5,22.025,23.070,25.027,20.884
87561,32582,6,22.285,23.526,18.461,19.558
87561,32582,6,22.674,22.992,18.420,19.191
87561,109759,6,19.329,19.723,15.373,16.182
87561,109759,6,20.502,22.943,18.773,17.937
87561,271,6,22.769,22.173,17.430,18.058
87561,271,6,22.806,24.739,17.647,18.048
87561,68539,6,18.535,19.316,14.557,16.267
87561,68539,6,18.905,18.704,14.804,15.713
87561,43367,6,29.241,22.415,18.297,19.033
87561,43367,6,23.907,24.552,19.049,19.154
87561,26157,7,19.987,28.339,17.751,15.819
87561,26157,7,19.768,21.445,16.867,18.552
87561,47344,7,23.546,25.017,27.138,22.889
87561,47344,7,22.734,22.701,17.499,18.594
87561,122516,7,17.645,17.895,14.237,15.193
87561,122516,7,17.689,17.177,13.647,14.750
87561,83313,7,21.597,17.902,14.109,14.895
87561,83313,7,17.287,17.572,13.963,14.776
87561,22163,7,17.586,19.955,16.331,18.029
87561,22163,7,20.339,20.346,16.990,18.620
87561,98466,8,17.032,17.835,14.941,15.977
87561,98466,8,18.119,17.870,14.723,15.447
87561,24533,8,17.167,17.179,14.238,15.031
87561,24533,8,17.061,17.183,14.213,17.779
87561,10947,8,18.183,19.333,15.927,16.484
87561,10947,8,20.460,19.640,16.307,16.888
87561,117294,8,21.422,19.340,15.683,16.200
87561,117294,8,17.928,18.689,15.033,15.872
87561,64862,8,18.758,17.498,15.414,14.821
87561,64862,8,15.791,15.685,12.922,13.759
87561,32076,9,15.744,15.946,13.378,13.957
87561,32076,9,16.540,17.041,14.440,15.794
87561,75247,9,17.183,18.529,14.266,15.195
87561,75247,9,16.856,17.187,14.497,15.327
87561,30867,9,17.569,18.390,14.854,15.810
87561,30867,9,18.133,17.426,14.714,13.932
87561,36071,9,15.650,15.649,16.030,13.564
87561,36071,9,16.802,17.071,14.899,15.681
87561,146091,9,19.045,18.343,16.424,16.370
87561,146091,9,18.768,18.041,15.502,16.154
87561,136428,10,16.823,15.474,12.913,14.099
87561,136428,10,15.369,16.035,13.338,14.070
87561,60814,10,16.557,16.368,13.554,14.811
87561,60814,10,16.475,16.316,13.937,14.558
87561,131612,10,16.797,16.413,13.950,15.054
87561,131612,10,17.038,14.582,12.915,13.762
87561,20015,10,14.969,15.409,13.718,15.020
87561,20015,10,16.462,15.638,18.564,13.459
87561,8463,10,18.295,17.155,15.676,15.523
87561,8463,10,17.167,18.001,15.466,16.351
108210,94245,1,27.225,27.535,19.939,20.455
108210,94245,1,25.273,25.891,18.523,20.374
108210,125457,1,35.919,26.894,22.154,22.779
108210,125457,1,25.962,25.573,19.546,22.298
108210,116168,1,22.609,24.063,17.518,19.334
108210,116168,1,22.360,28.006,25.502,19.186
108210,129766,1,22.115,21.093,16.375,17.438
108210,129766,1,20.060,21.325,16.544,17.011
108210,129400,1,19.679,19.355,15.784,17.680
108210,129400,1,20.171,19.744,15.506,16.401
108210,122296,2,22.533,23.384,18.481,18.776
108210,122296,2,21.260,20.943,17.079,18.051
108210,88676,2,23.336,22.699,17.446,18.410
108210,88676,2,23.303,23.556,18.153,21.024
108210,137453,2,22.183,21.427,17.418,18.357
108210,137453,2,21.910,21.994,17.775,18.536
108210,85077,2,24.382,23.632,18.069,19.575
108210,85077,2,23.951,24.078,18.622,19.161
108210,69413,2,23.421,22.903,16.744,18.031
108210,69413,2,22.130,22.231,16.533,17.562
108210,153848,3,20.849,20.396,17.391,17.573
108210,153848,3,20.761,21.704,17.711,18.273
108210,67371,3,20.055,19.701,15.197,16.062
108210,67371,3,20.018,20.091,14.869,16.374
108210,71503,3,24.247,25.592,18.490,19.495
108210,71503,3,24.599,25.698,18.650,19.941
108210,92105,3,18.309,18.162,14.345,15.291
108210,92105,3,17.614,17.177,13.778,14.822
108210,67833,3,29.298,23.228,17.167,18.061
108210,67833,3,22.247,22.754,18.231,17.949
108210,70521,4,20.161,19.390,15.506,16.321
108210,70521,4,19.065,19.273,15.887,16.921
108210,151345,4,18.468,18.232,15.353,16.254
108210,151345,4,18.653,18.360,15.613,15.731
108210,94874,4,17.426,16.891,13.644,14.667
108210,94874,4,16.972,18.002,14.126,14.400
108210,155488,4,21.004,20.989,16.951,18.415
108210,155488,4,21.602,21.792,17.464,18.562
108210,49798,4,22.726,22.693,17.206,18.599
108210,49798,4,22.877,22.647,16.989,19.086
108210,91261,5,17.237,17.666,14.191,15.378
108210,91261,5,17.722,17.735,14.865,15.064
108210,68327,5,25.783,26.788,30.535,30.887
108210,68327,5,25.643,26.332,19.759,21.396
108210,128075,5,17.218,17.123,14.196,14.789
108210,128075,5,16.264,15.862,13.446,14.208
108210,46971,5,19.444,19.714,15.107,15.859
108210,46971,5,19.012,19.285,14.888,15.763
108210,59913,5,23.344,23.116,17.609,18.585
108210,59913,5,23.323,22.308,17.143,18.700
108210,65958,6,23.046,22.764,18.211,18.994
108210,65958,6,22.802,22.546,17.940,18.956
108210,93986,6,23.760,23.410,18.648,21.228
108210,93986,6,24.437,24.054,21.439,22.450
108210,96444,6,17.718,16.713,13.673,13.982
108210,96444,6,15.971,16.720,13.849,14.902
108210,148867,6,15.750,15.876,13.669,14.298
108210,148867,6,16.300,15.854,13.555,14.508
108210,65145,6,23.995,23.388,18.617,18.908
108210,65145,6,22.903,22.335,17.586,18.632
108210,43132,7,24.123,23.449,18.556,20.006
108210,43132,7,24.028,24.745,19.623,20.617
108210,48753,7,24.872,25.516,20.065,20.806
108210,48753,7,25.130,25.538,27.907,29.491
108210,29365,7,20.714,18.644,14.758,15.410
108210,29365,7,18.457,18.661,15.086,15.081
108210,35494,7,21.417,20.793,17.746,18.236
108210,35494,7,22.316,21.289,16.990,17.782
108210,31741,7,17.889,18.421,15.418,15.638
108210,31741,7,18.589,19.041,15.229,15.696
108210,54053,8,16.351,15.717,12.689,13.320
108210,54053,8,15.555,15.506,12.922,13.644
108210,58383,8,25.230,23.789,17.598,18.982
108210,58383,8,22.437,23.607,17.735,18.324
108210,51245,8,14.993,14.955,12.360,14.171
108210,51245,8,15.104,15.208,12.603,13.400
