source,new_source,group,dijkstra_dheap,rdijkstra_dheap,dijkstra_radix,rdijkstra_radix
87560,24449,1,13.516,16.369,13.813,13.165
87560,24449,1,13.302,13.273,12.280,13.461
87560,72295,1,14.749,13.809,12.608,13.046
87560,72295,1,13.535,13.690,12.461,13.164
87560,62759,1,14.323,13.512,12.260,13.839
87560,62759,1,13.756,14.893,12.958,13.162
87560,62429,2,13.111,13.444,12.539,13.852
87560,62429,2,13.342,13.205,12.372,13.678
87560,92174,2,13.302,13.569,12.126,12.938
87560,92174,2,13.462,13.805,12.221,12.827
87560,28037,2,13.024,13.311,13.929,14.260
87560,28037,2,13.306,13.349,12.406,13.269
87560,97381,3,13.710,13.530,12.287,16.623
87560,97381,3,21.329,16.679,12.380,13.159
87560,42654,3,13.901,13.086,12.497,13.338
87560,42654,3,13.399,13.227,12.065,13.446
87560,50748,3,13.647,13.504,12.499,13.113
87560,50748,3,13.634,13.638,12.343,13.288
87560,4114,4,13.385,13.184,12.378,13.325
87560,4114,4,13.822,14.040,11.995,13.354
87560,48604,4,13.414,13.611,13.173,12.890
87560,48604,4,13.270,13.439,12.128,13.081
87560,1859,4,13.156,13.487,12.279,13.286
87560,1859,4,13.786,13.922,12.344,13.415
87560,88829,5,13.536,13.728,12.631,12.925
87560,88829,5,13.168,13.346,13.647,14.283
87560,13338,5,13.614,13.818,13.353,14.574
87560,13338,5,13.771,13.705,12.398,13.300
87560,8414,5,13.630,13.114,12.324,13.288
87560,8414,5,13.381,13.312,12.267,13.339
87560,29836,6,13.437,13.630,12.134,13.129
87560,29836,6,13.514,13.472,12.309,13.171
87560,42605,6,12.811,13.525,12.009,13.226
87560,42605,6,13.140,16.539,12.603,13.315
87560,44530,6,13.909,13.616,12.349,12.909
87560,44530,6,13.329,13.547,12.171,13.231
87560,97149,7,13.091,13.381,12.129,13.153
87560,97149,7,13.033,14.035,11.928,13.067
87560,17040,7,13.507,13.202,11.895,12.931
87560,17040,7,13.387,13.364,11.866,21.614
87560,34974,7,13.407,13.549,12.243,13.131
