source,new_source,group,dijkstra_dheap,rdijkstra_dag_dheap,rdijkstra_tree_dheap,rauction_dag_dheap,rauction_tree_dheap,dijkstra_radix,rdijkstra_dag_radix,rdijkstra_tree_radix,rauction_dag_radix,rauction_tree_radix
87561,114027,1,42.784,45.008,43.041,48.854,49.381,18.955,18.333,18.074,51.048,50.439
87561,114027,1,40.975,44.770,48.129,52.546,54.514,22.975,21.889,19.955,51.442,55.208
87561,69618,1,45.077,45.391,45.114,4.279,4.272,21.007,23.039,23.103,4.469,4.936
87561,69618,1,54.517,47.942,48.016,4.551,5.010,21.912,21.331,19.264,4.115,4.185
87561,101270,1,47.776,47.089,50.194,4.149,4.291,20.802,22.582,23.827,4.762,4.655
87561,101270,1,44.657,46.052,46.359,4.277,4.440,21.783,19.094,18.167,4.135,4.131
87561,50748,2,46.699,45.125,47.678,24.817,26.592,20.179,21.453,21.981,25.165,26.781
87561,50748,2,49.202,47.673,46.655,25.527,25.812,22.391,20.476,20.358,25.833,26.665
87561,20094,2,40.521,39.482,39.607,4.135,4.092,20.549,18.774,17.788,4.117,4.346
87561,20094,2,40.629,39.606,58.632,5.188,4.682,20.857,21.983,20.241,4.388,4.311
87561,85029,2,39.749,38.954,39.495,20.278,20.691,18.582,17.945,17.912,20.327,21.744
87561,85029,2,39.902,42.014,38.969,20.214,23.345,19.056,18.024,17.636,20.600,20.420
87561,11348,3,39.557,39.303,38.777,8.115,8.183,18.352,17.465,17.418,8.151,8.187
87561,11348,3,38.483,39.230,39.148,8.263,8.149,18.625,17.604,17.418,8.127,8.298
87561,66901,3,39.077,38.746,38.552,8.386,8.150,18.417,17.590,17.478,8.126,8.201
87561,66901,3,39.831,39.546,38.494,8.230,8.229,18.459,18.108,17.280,8.068,8.155
87561,112087,3,39.472,38.540,38.103,2.098,2.146,18.591,17.583,17.787,2.076,2.146
87561,112087,3,38.519,42.620,39.263,2.091,2.128,18.423,18.364,17.741,2.125,2.174
87561,149330,4,38.586,39.420,38.360,4.127,4.142,18.643,18.723,17.717,4.123,4.352
87561,149330,4,39.058,39.498,39.295,4.122,4.171,18.436,17.622,17.657,4.106,4.120
87561,94839,4,38.953,38.571,42.175,4.169,4.147,18.477,17.544,17.469,4.298,4.103
87561,94839,4,38.315,38.104,39.048,4.203,4.172,18.388,18.315,17.371,4.134,4.174
87561,5109,4,39.969,38.191,39.757,4.511,4.453,20.970,19.821,20.593,4.480,4.612
87561,5109,4,44.283,44.403,42.239,4.250,4.218,19.326,18.280,17.934,4.221,4.171
87561,122545,5,42.745,40.981,38.480,6.193,6.189,19.235,17.465,17.505,6.101,6.186
